	Abilities	Height	Local №	National №	Species	Type	Weight	name
144	1. PressureFlame Body (hidden ability)	6′07″ (2.0 m)	146 (Red/Blue/Yellow)237 (Gold/Silver/Crystal)146 (FireRed/LeafGreen)242 (HeartGold/SoulSilver)153 (X/Y — Coastal Kalos)	146	Flame Pokémon	Fire Flying	132.3 lbs (60.0 kg)	Moltres
145	1. Shed SkinMarvel Scale (hidden ability)	5′11″ (1.8 m)	147 (Red/Blue/Yellow)241 (Gold/Silver/Crystal)147 (FireRed/LeafGreen)246 (HeartGold/SoulSilver)145 (X/Y — Mountain Kalos)281 (Sun/Moon — Alola dex)379 (U.Sun/U.Moon — Alola dex)	147	Dragon Pokémon	Dragon	7.3 lbs (3.3 kg)	Dratini
146	1. Shed SkinMarvel Scale (hidden ability)	13′01″ (4.0 m)	148 (Red/Blue/Yellow)242 (Gold/Silver/Crystal)148 (FireRed/LeafGreen)247 (HeartGold/SoulSilver)146 (X/Y — Mountain Kalos)282 (Sun/Moon — Alola dex)380 (U.Sun/U.Moon — Alola dex)	148	Dragon Pokémon	Dragon	36.4 lbs (16.5 kg)	Dragonair
147	1. Inner FocusMultiscale (hidden ability)	7′03″ (2.2 m)	149 (Red/Blue/Yellow)243 (Gold/Silver/Crystal)149 (FireRed/LeafGreen)248 (HeartGold/SoulSilver)147 (X/Y — Mountain Kalos)283 (Sun/Moon — Alola dex)381 (U.Sun/U.Moon — Alola dex)	149	Dragon Pokémon	Dragon Flying	463.0 lbs (210.0 kg)	Dragonite
148	1. PressureUnnerve (hidden ability)	6′07″ (2.0 m)	150 (Red/Blue/Yellow)249 (Gold/Silver/Crystal)150 (FireRed/LeafGreen)254 (HeartGold/SoulSilver)151 (X/Y — Mountain Kalos)	150	Genetic Pokémon	Psychic	269.0 lbs (122.0 kg)	Mewtwo
149	1. Synchronize	1′04″ (0.4 m)	151 (Red/Blue/Yellow)250 (Gold/Silver/Crystal)151 (FireRed/LeafGreen)255 (HeartGold/SoulSilver)	151	New Species Pokémon	Psychic	8.8 lbs (4.0 kg)	Mew
150	1. OvergrowLeaf Guard (hidden ability)	2′11″ (0.9 m)	001 (Gold/Silver/Crystal)001 (HeartGold/SoulSilver)	152	Leaf Pokémon	Grass	14.1 lbs (6.4 kg)	Chikorita
151	1. OvergrowLeaf Guard (hidden ability)	3′11″ (1.2 m)	002 (Gold/Silver/Crystal)002 (HeartGold/SoulSilver)	153	Leaf Pokémon	Grass	34.8 lbs (15.8 kg)	Bayleef
152	1. OvergrowLeaf Guard (hidden ability)	5′11″ (1.8 m)	003 (Gold/Silver/Crystal)003 (HeartGold/SoulSilver)	154	Herb Pokémon	Grass	221.6 lbs (100.5 kg)	Meganium
153	1. BlazeFlash Fire (hidden ability)	1′08″ (0.5 m)	004 (Gold/Silver/Crystal)004 (HeartGold/SoulSilver)	155	Fire Mouse Pokémon	Fire	17.4 lbs (7.9 kg)	Cyndaquil
154	1. BlazeFlash Fire (hidden ability)	2′11″ (0.9 m)	005 (Gold/Silver/Crystal)005 (HeartGold/SoulSilver)	156	Volcano Pokémon	Fire	41.9 lbs (19.0 kg)	Quilava
155	1. BlazeFlash Fire (hidden ability)	5′07″ (1.7 m)	006 (Gold/Silver/Crystal)006 (HeartGold/SoulSilver)	157	Volcano Pokémon	Fire	175.3 lbs (79.5 kg)	Typhlosion
156	1. TorrentSheer Force (hidden ability)	2′00″ (0.6 m)	007 (Gold/Silver/Crystal)007 (HeartGold/SoulSilver)	158	Big Jaw Pokémon	Water	20.9 lbs (9.5 kg)	Totodile
157	1. TorrentSheer Force (hidden ability)	3′07″ (1.1 m)	008 (Gold/Silver/Crystal)008 (HeartGold/SoulSilver)	159	Big Jaw Pokémon	Water	55.1 lbs (25.0 kg)	Croconaw
158	1. TorrentSheer Force (hidden ability)	7′07″ (2.3 m)	009 (Gold/Silver/Crystal)009 (HeartGold/SoulSilver)	160	Big Jaw Pokémon	Water	195.8 lbs (88.8 kg)	Feraligatr
159	1. Run Away2. Keen EyeFrisk (hidden ability)	2′07″ (0.8 m)	019 (Gold/Silver/Crystal)019 (HeartGold/SoulSilver)109 (X/Y — Central Kalos)	161	Scout Pokémon	Normal	13.2 lbs (6.0 kg)	Sentret
160	1. Run Away2. Keen EyeFrisk (hidden ability)	5′11″ (1.8 m)	020 (Gold/Silver/Crystal)020 (HeartGold/SoulSilver)110 (X/Y — Central Kalos)	162	Long Body Pokémon	Normal	71.6 lbs (32.5 kg)	Furret
161	1. Insomnia2. Keen EyeTinted Lens (hidden ability)	2′04″ (0.7 m)	015 (Gold/Silver/Crystal)106 (Diamond/Pearl)106 (Platinum)015 (HeartGold/SoulSilver)117 (X/Y — Mountain Kalos)212 (U.Sun/U.Moon — Alola dex)	163	Owl Pokémon	Normal Flying	46.7 lbs (21.2 kg)	Hoothoot
162	1. Insomnia2. Keen EyeTinted Lens (hidden ability)	5′03″ (1.6 m)	016 (Gold/Silver/Crystal)107 (Diamond/Pearl)107 (Platinum)016 (HeartGold/SoulSilver)118 (X/Y — Mountain Kalos)213 (U.Sun/U.Moon — Alola dex)	164	Owl Pokémon	Normal Flying	89.9 lbs (40.8 kg)	Noctowl
163	1. Swarm2. Early BirdRattled (hidden ability)	3′03″ (1.0 m)	030 (Gold/Silver/Crystal)030 (HeartGold/SoulSilver)074 (X/Y — Central Kalos)020 (Sun/Moon — Alola dex)020 (U.Sun/U.Moon — Alola dex)	165	Five Star Pokémon	Bug Flying	23.8 lbs (10.8 kg)	Ledyba
164	1. Swarm2. Early BirdIron Fist (hidden ability)	4′07″ (1.4 m)	031 (Gold/Silver/Crystal)031 (HeartGold/SoulSilver)075 (X/Y — Central Kalos)021 (Sun/Moon — Alola dex)021 (U.Sun/U.Moon — Alola dex)	166	Five Star Pokémon	Bug Flying	78.5 lbs (35.6 kg)	Ledian
165	1. Swarm2. InsomniaSniper (hidden ability)	1′08″ (0.5 m)	032 (Gold/Silver/Crystal)032 (HeartGold/SoulSilver)107 (X/Y — Mountain Kalos)022 (Sun/Moon — Alola dex)022 (U.Sun/U.Moon — Alola dex)	167	String Spit Pokémon	Bug Poison	18.7 lbs (8.5 kg)	Spinarak
166	1. Swarm2. InsomniaSniper (hidden ability)	3′07″ (1.1 m)	033 (Gold/Silver/Crystal)033 (HeartGold/SoulSilver)108 (X/Y — Mountain Kalos)023 (Sun/Moon — Alola dex)023 (U.Sun/U.Moon — Alola dex)	168	Long Leg Pokémon	Bug Poison	73.9 lbs (33.5 kg)	Ariados
167	1. Inner FocusInfiltrator (hidden ability)	5′11″ (1.8 m)	039 (Gold/Silver/Crystal)065 (Ruby/Sapphire/Emerald)030 (Diamond/Pearl)030 (Platinum)039 (HeartGold/SoulSilver)063 (Black 2/White 2)147 (X/Y — Central Kalos)067 (Omega Ruby/Alpha Sapphire)070 (Sun/Moon — Alola dex)082 (U.Sun/U.Moon — Alola dex)	169	Bat Pokémon	Poison Flying	165.3 lbs (75.0 kg)	Crobat
168	1. Volt Absorb2. IlluminateWater Absorb (hidden ability)	1′08″ (0.5 m)	174 (Gold/Silver/Crystal)181 (Ruby/Sapphire/Emerald)176 (HeartGold/SoulSilver)147 (X/Y — Coastal Kalos)190 (Omega Ruby/Alpha Sapphire)201 (Sun/Moon — Alola dex)257 (U.Sun/U.Moon — Alola dex)	170	Angler Pokémon	Water Electric	26.5 lbs (12.0 kg)	Chinchou
169	1. Volt Absorb2. IlluminateWater Absorb (hidden ability)	3′11″ (1.2 m)	175 (Gold/Silver/Crystal)182 (Ruby/Sapphire/Emerald)177 (HeartGold/SoulSilver)148 (X/Y — Coastal Kalos)191 (Omega Ruby/Alpha Sapphire)202 (Sun/Moon — Alola dex)258 (U.Sun/U.Moon — Alola dex)	171	Light Pokémon	Water Electric	49.6 lbs (22.5 kg)	Lanturn
170	1. StaticLightning Rod (hidden ability)	1′00″ (0.3 m)	021 (Gold/Silver/Crystal)155 (Ruby/Sapphire/Emerald)103 (Diamond/Pearl)103 (Platinum)021 (HeartGold/SoulSilver)035 (X/Y — Central Kalos)162 (Omega Ruby/Alpha Sapphire)024 (Sun/Moon — Alola dex)031 (U.Sun/U.Moon — Alola dex)	172	Tiny Mouse Pokémon	Electric	4.4 lbs (2.0 kg)	Pichu
171	1. Cute Charm2. Magic GuardFriend Guard (hidden ability)	1′00″ (0.3 m)	040 (Gold/Silver/Crystal)099 (Diamond/Pearl)099 (Platinum)040 (HeartGold/SoulSilver)088 (Black 2/White 2)210 (Sun/Moon — Alola dex)272 (U.Sun/U.Moon — Alola dex)	173	Star Shape Pokémon	Fairy	6.6 lbs (3.0 kg)	Cleffa
172	1. Cute Charm2. CompetitiveFriend Guard (hidden ability)	1′00″ (0.3 m)	043 (Gold/Silver/Crystal)137 (Ruby/Sapphire/Emerald)043 (HeartGold/SoulSilver)281 (Black 2/White 2)119 (X/Y — Mountain Kalos)142 (Omega Ruby/Alpha Sapphire)134 (Sun/Moon — Alola dex)167 (U.Sun/U.Moon — Alola dex)	174	Balloon Pokémon	Normal Fairy	2.2 lbs (1.0 kg)	Igglybuff
173	1. Hustle2. Serene GraceSuper Luck (hidden ability)	1′00″ (0.3 m)	046 (Gold/Silver/Crystal)173 (Platinum)046 (HeartGold/SoulSilver)	175	Spike Ball Pokémon	Fairy	3.3 lbs (1.5 kg)	Togepi
174	1. Hustle2. Serene GraceSuper Luck (hidden ability)	2′00″ (0.6 m)	047 (Gold/Silver/Crystal)174 (Platinum)047 (HeartGold/SoulSilver)	176	Happiness Pokémon	Fairy Flying	7.1 lbs (3.2 kg)	Togetic
175	1. Synchronize2. Early BirdMagic Bounce (hidden ability)	0′08″ (0.2 m)	159 (Gold/Silver/Crystal)162 (Ruby/Sapphire/Emerald)161 (HeartGold/SoulSilver)169 (Omega Ruby/Alpha Sapphire)252 (U.Sun/U.Moon — Alola dex)	177	Tiny Bird Pokémon	Psychic Flying	4.4 lbs (2.0 kg)	Natu
176	1. Synchronize2. Early BirdMagic Bounce (hidden ability)	4′11″ (1.5 m)	160 (Gold/Silver/Crystal)163 (Ruby/Sapphire/Emerald)162 (HeartGold/SoulSilver)170 (Omega Ruby/Alpha Sapphire)253 (U.Sun/U.Moon — Alola dex)	178	Mystic Pokémon	Psychic Flying	33.1 lbs (15.0 kg)	Xatu
177	1. StaticPlus (hidden ability)	2′00″ (0.6 m)	053 (Gold/Silver/Crystal)053 (HeartGold/SoulSilver)025 (Black 2/White 2)127 (X/Y — Coastal Kalos)162 (U.Sun/U.Moon — Alola dex)	179	Wool Pokémon	Electric	17.2 lbs (7.8 kg)	Mareep
178	1. StaticPlus (hidden ability)	2′07″ (0.8 m)	054 (Gold/Silver/Crystal)054 (HeartGold/SoulSilver)026 (Black 2/White 2)128 (X/Y — Coastal Kalos)163 (U.Sun/U.Moon — Alola dex)	180	Wool Pokémon	Electric	29.3 lbs (13.3 kg)	Flaaffy
179	1. StaticPlus (hidden ability)	4′07″ (1.4 m)	055 (Gold/Silver/Crystal)055 (HeartGold/SoulSilver)027 (Black 2/White 2)129 (X/Y — Coastal Kalos)164 (U.Sun/U.Moon — Alola dex)	181	Light Pokémon	Electric	135.6 lbs (61.5 kg)	Ampharos
180	1. ChlorophyllHealer (hidden ability)	1′04″ (0.4 m)	086 (Gold/Silver/Crystal)091 (Ruby/Sapphire/Emerald)086 (HeartGold/SoulSilver)108 (X/Y — Central Kalos)094 (Omega Ruby/Alpha Sapphire)	182	Flower Pokémon	Grass	12.8 lbs (5.8 kg)	Bellossom
181	1. Thick Fat2. Huge PowerSap Sipper (hidden ability)	1′04″ (0.4 m)	130 (Gold/Silver/Crystal)055 (Ruby/Sapphire/Emerald)125 (Diamond/Pearl)125 (Platinum)132 (HeartGold/SoulSilver)031 (Black 2/White 2)042 (X/Y — Central Kalos)056 (Omega Ruby/Alpha Sapphire)	183	Aqua Mouse Pokémon	Water Fairy	18.7 lbs (8.5 kg)	Marill
182	1. Thick Fat2. Huge PowerSap Sipper (hidden ability)	2′07″ (0.8 m)	131 (Gold/Silver/Crystal)056 (Ruby/Sapphire/Emerald)126 (Diamond/Pearl)126 (Platinum)133 (HeartGold/SoulSilver)032 (Black 2/White 2)043 (X/Y — Central Kalos)057 (Omega Ruby/Alpha Sapphire)	184	Aqua Rabbit Pokémon	Water Fairy	62.8 lbs (28.5 kg)	Azumarill
183	1. Sturdy2. Rock HeadRattled (hidden ability)	3′11″ (1.2 m)	106 (Gold/Silver/Crystal)093 (Diamond/Pearl)093 (Platinum)107 (HeartGold/SoulSilver)130 (X/Y — Mountain Kalos)031 (Sun/Moon — Alola dex)038 (U.Sun/U.Moon — Alola dex)	185	Imitation Pokémon	Rock	83.8 lbs (38.0 kg)	Sudowoodo
184	1. Water Absorb2. DampDrizzle (hidden ability)	3′07″ (1.1 m)	075 (Gold/Silver/Crystal)075 (HeartGold/SoulSilver)036 (X/Y — Mountain Kalos)152 (Sun/Moon — Alola dex)185 (U.Sun/U.Moon — Alola dex)	186	Frog Pokémon	Water	74.7 lbs (33.9 kg)	Politoed
185	1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability)	1′04″ (0.4 m)	067 (Gold/Silver/Crystal)067 (HeartGold/SoulSilver)135 (X/Y — Central Kalos)	187	Cottonweed Pokémon	Grass Flying	1.1 lbs (0.5 kg)	Hoppip
186	1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability)	2′00″ (0.6 m)	068 (Gold/Silver/Crystal)068 (HeartGold/SoulSilver)136 (X/Y — Central Kalos)	188	Cottonweed Pokémon	Grass Flying	2.2 lbs (1.0 kg)	Skiploom
187	1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability)	2′07″ (0.8 m)	069 (Gold/Silver/Crystal)069 (HeartGold/SoulSilver)137 (X/Y — Central Kalos)	189	Cottonweed Pokémon	Grass Flying	6.6 lbs (3.0 kg)	Jumpluff
188	1. Run Away2. PickupSkill Link (hidden ability)	2′07″ (0.8 m)	122 (Gold/Silver/Crystal)063 (Diamond/Pearl)063 (Platinum)123 (HeartGold/SoulSilver)368 (U.Sun/U.Moon — Alola dex)	190	Long Tail Pokémon	Normal	25.4 lbs (11.5 kg)	Aipom
189	1. Chlorophyll2. Solar PowerEarly Bird (hidden ability)	1′00″ (0.3 m)	102 (Gold/Silver/Crystal)103 (HeartGold/SoulSilver)020 (Black 2/White 2)	191	Seed Pokémon	Grass	4.0 lbs (1.8 kg)	Sunkern
190	1. Chlorophyll2. Solar PowerEarly Bird (hidden ability)	2′07″ (0.8 m)	103 (Gold/Silver/Crystal)104 (HeartGold/SoulSilver)021 (Black 2/White 2)	192	Sun Pokémon	Grass	18.7 lbs (8.5 kg)	Sunflora
191	1. Speed Boost2. Compound EyesFrisk (hidden ability)	3′11″ (1.2 m)	101 (Gold/Silver/Crystal)183 (Platinum)101 (HeartGold/SoulSilver)286 (Black 2/White 2)087 (X/Y — Coastal Kalos)	193	Clear Wing Pokémon	Bug Flying	83.8 lbs (38.0 kg)	Yanma
192	1. Damp2. Water AbsorbUnaware (hidden ability)	1′04″ (0.4 m)	056 (Gold/Silver/Crystal)117 (Diamond/Pearl)117 (Platinum)056 (HeartGold/SoulSilver)017 (X/Y — Mountain Kalos)	194	Water Fish Pokémon	Water Ground	18.7 lbs (8.5 kg)	Wooper
193	1. Damp2. Water AbsorbUnaware (hidden ability)	4′07″ (1.4 m)	057 (Gold/Silver/Crystal)118 (Diamond/Pearl)118 (Platinum)057 (HeartGold/SoulSilver)018 (X/Y — Mountain Kalos)	195	Water Fish Pokémon	Water Ground	165.3 lbs (75.0 kg)	Quagsire
194	1. SynchronizeMagic Bounce (hidden ability)	2′11″ (0.9 m)	184 (Gold/Silver/Crystal)167 (Platinum)188 (HeartGold/SoulSilver)095 (Black 2/White 2)081 (X/Y — Coastal Kalos)127 (Sun/Moon — Alola dex)157 (U.Sun/U.Moon — Alola dex)	196	Sun Pokémon	Psychic	58.4 lbs (26.5 kg)	Espeon
195	1. SynchronizeInner Focus (hidden ability)	3′03″ (1.0 m)	185 (Gold/Silver/Crystal)168 (Platinum)189 (HeartGold/SoulSilver)096 (Black 2/White 2)082 (X/Y — Coastal Kalos)128 (Sun/Moon — Alola dex)158 (U.Sun/U.Moon — Alola dex)	197	Moonlight Pokémon	Dark	59.5 lbs (27.0 kg)	Umbreon
196	1. Insomnia2. Super LuckPrankster (hidden ability)	1′08″ (0.5 m)	208 (Gold/Silver/Crystal)074 (Diamond/Pearl)074 (Platinum)213 (HeartGold/SoulSilver)051 (X/Y — Mountain Kalos)277 (Sun/Moon — Alola dex)078 (U.Sun/U.Moon — Alola dex)	198	Darkness Pokémon	Dark Flying	4.6 lbs (2.1 kg)	Murkrow
197	1. Oblivious2. Own TempoRegenerator (hidden ability)	6′07″ (2.0 m)	082 (Gold/Silver/Crystal)082 (HeartGold/SoulSilver)135 (X/Y — Coastal Kalos)039 (Sun/Moon — Alola dex)046 (U.Sun/U.Moon — Alola dex)	199	Royal Pokémon	Water Psychic	175.3 lbs (79.5 kg)	Slowking
198	1. Levitate	2′04″ (0.7 m)	214 (Gold/Silver/Crystal)072 (Diamond/Pearl)072 (Platinum)219 (HeartGold/SoulSilver)066 (Sun/Moon — Alola dex)372 (U.Sun/U.Moon — Alola dex)	200	Screech Pokémon	Ghost	2.2 lbs (1.0 kg)	Misdreavus
199	1. Levitate	1′08″ (0.5 m)	061 (Gold/Silver/Crystal)114 (Diamond/Pearl)114 (Platinum)061 (HeartGold/SoulSilver)	201	Symbol Pokémon	Psychic	11.0 lbs (5.0 kg)	Unown
200	1. Shadow TagTelepathy (hidden ability)	4′03″ (1.3 m)	107 (Gold/Silver/Crystal)161 (Ruby/Sapphire/Emerald)108 (HeartGold/SoulSilver)119 (X/Y — Coastal Kalos)168 (Omega Ruby/Alpha Sapphire)	202	Patient Pokémon	Psychic	62.8 lbs (28.5 kg)	Wobbuffet
201	1. Inner Focus2. Early BirdSap Sipper (hidden ability)	4′11″ (1.5 m)	147 (Gold/Silver/Crystal)164 (Ruby/Sapphire/Emerald)121 (Diamond/Pearl)121 (Platinum)149 (HeartGold/SoulSilver)171 (Omega Ruby/Alpha Sapphire)	203	Long Neck Pokémon	Normal Psychic	91.5 lbs (41.5 kg)	Girafarig
202	1. SturdyOvercoat (hidden ability)	2′00″ (0.6 m)	093 (Gold/Silver/Crystal)093 (HeartGold/SoulSilver)268 (U.Sun/U.Moon — Alola dex)	204	Bagworm Pokémon	Bug	15.9 lbs (7.2 kg)	Pineco
203	1. SturdyOvercoat (hidden ability)	3′11″ (1.2 m)	094 (Gold/Silver/Crystal)094 (HeartGold/SoulSilver)269 (U.Sun/U.Moon — Alola dex)	205	Bagworm Pokémon	Bug Steel	277.3 lbs (125.8 kg)	Forretress
204	1. Serene Grace2. Run AwayRattled (hidden ability)	4′11″ (1.5 m)	052 (Gold/Silver/Crystal)052 (HeartGold/SoulSilver)035 (Black 2/White 2)040 (X/Y — Central Kalos)063 (U.Sun/U.Moon — Alola dex)	206	Land Snake Pokémon	Normal	30.9 lbs (14.0 kg)	Dunsparce
205	1. Hyper Cutter2. Sand VeilImmunity (hidden ability)	3′07″ (1.1 m)	189 (Gold/Silver/Crystal)153 (Platinum)193 (HeartGold/SoulSilver)221 (Black 2/White 2)115 (X/Y — Mountain Kalos)	207	FlyScorpion Pokémon	Ground Flying	142.9 lbs (64.8 kg)	Gligar
206	1. Rock Head2. SturdySheer Force (hidden ability)	30′02″ (9.2 m)	063 (Gold/Silver/Crystal)035 (Diamond/Pearl)035 (Platinum)063 (HeartGold/SoulSilver)072 (Black 2/White 2)054 (X/Y — Coastal Kalos)	208	Iron Snake Pokémon	Steel Ground	881.8 lbs (400.0 kg)	Steelix
207	1. Intimidate2. Run AwayRattled (hidden ability)	2′00″ (0.6 m)	123 (Gold/Silver/Crystal)125 (HeartGold/SoulSilver)071 (X/Y — Coastal Kalos)258 (Sun/Moon — Alola dex)339 (U.Sun/U.Moon — Alola dex)	209	Fairy Pokémon	Fairy	17.2 lbs (7.8 kg)	Snubbull
208	1. Intimidate2. Quick FeetRattled (hidden ability)	4′07″ (1.4 m)	124 (Gold/Silver/Crystal)126 (HeartGold/SoulSilver)072 (X/Y — Coastal Kalos)259 (Sun/Moon — Alola dex)340 (U.Sun/U.Moon — Alola dex)	210	Fairy Pokémon	Fairy	107.4 lbs (48.7 kg)	Granbull
209	1. Poison Point2. Swift SwimIntimidate (hidden ability)	1′08″ (0.5 m)	161 (Gold/Silver/Crystal)163 (HeartGold/SoulSilver)038 (X/Y — Coastal Kalos)	211	Balloon Pokémon	Water Poison	8.6 lbs (3.9 kg)	Qwilfish
210	1. Swarm2. TechnicianLight Metal (hidden ability)	5′11″ (1.8 m)	111 (Gold/Silver/Crystal)196 (Platinum)112 (HeartGold/SoulSilver)137 (X/Y — Mountain Kalos)276 (Sun/Moon — Alola dex)366 (U.Sun/U.Moon — Alola dex)	212	Pincer Pokémon	Bug Steel	260.1 lbs (118.0 kg)	Scizor
211	1. Sturdy2. GluttonyContrary (hidden ability)	2′00″ (0.6 m)	166 (Gold/Silver/Crystal)168 (HeartGold/SoulSilver)232 (Black 2/White 2)014 (X/Y — Mountain Kalos)	213	Mold Pokémon	Bug Rock	45.2 lbs (20.5 kg)	Shuckle
212	1. Swarm2. GutsMoxie (hidden ability)	4′11″ (1.5 m)	113 (Gold/Silver/Crystal)168 (Ruby/Sapphire/Emerald)062 (Diamond/Pearl)062 (Platinum)114 (HeartGold/SoulSilver)145 (Black 2/White 2)131 (X/Y — Coastal Kalos)175 (Omega Ruby/Alpha Sapphire)367 (U.Sun/U.Moon — Alola dex)	214	Single Horn Pokémon	Bug Fighting	119.0 lbs (54.0 kg)	Heracross
213	1. Inner Focus2. Keen EyePickpocket (hidden ability)	2′11″ (0.9 m)	213 (Gold/Silver/Crystal)144 (Diamond/Pearl)144 (Platinum)218 (HeartGold/SoulSilver)252 (Black 2/White 2)091 (X/Y — Mountain Kalos)249 (Sun/Moon — Alola dex)326 (U.Sun/U.Moon — Alola dex)	215	Sharp Claw Pokémon	Dark Ice	61.7 lbs (28.0 kg)	Sneasel
214	1. Pickup2. Quick FeetHoney Gather (hidden ability)	2′00″ (0.6 m)	193 (Gold/Silver/Crystal)198 (HeartGold/SoulSilver)132 (X/Y — Mountain Kalos)	216	Little Bear Pokémon	Normal	19.4 lbs (8.8 kg)	Teddiursa
215	1. Guts2. Quick FeetUnnerve (hidden ability)	5′11″ (1.8 m)	194 (Gold/Silver/Crystal)199 (HeartGold/SoulSilver)133 (X/Y — Mountain Kalos)	217	Hibernator Pokémon	Normal	277.3 lbs (125.8 kg)	Ursaring
216	1. Magma Armor2. Flame BodyWeak Armor (hidden ability)	2′04″ (0.7 m)	211 (Gold/Silver/Crystal)103 (Ruby/Sapphire/Emerald)216 (HeartGold/SoulSilver)012 (X/Y — Mountain Kalos)108 (Omega Ruby/Alpha Sapphire)	218	Lava Pokémon	Fire	77.2 lbs (35.0 kg)	Slugma
217	1. Magma Armor2. Flame BodyWeak Armor (hidden ability)	2′07″ (0.8 m)	212 (Gold/Silver/Crystal)104 (Ruby/Sapphire/Emerald)217 (HeartGold/SoulSilver)013 (X/Y — Mountain Kalos)109 (Omega Ruby/Alpha Sapphire)	219	Lava Pokémon	Fire Rock	121.3 lbs (55.0 kg)	Magcargo
218	1. Oblivious2. Snow CloakThick Fat (hidden ability)	1′04″ (0.4 m)	191 (Gold/Silver/Crystal)203 (Platinum)195 (HeartGold/SoulSilver)258 (Black 2/White 2)076 (X/Y — Mountain Kalos)	220	Pig Pokémon	Ice Ground	14.3 lbs (6.5 kg)	Swinub
219	1. Oblivious2. Snow CloakThick Fat (hidden ability)	3′07″ (1.1 m)	192 (Gold/Silver/Crystal)204 (Platinum)196 (HeartGold/SoulSilver)259 (Black 2/White 2)077 (X/Y — Mountain Kalos)	221	Swine Pokémon	Ice Ground	123.0 lbs (55.8 kg)	Piloswine
220	1. Hustle2. Natural CureRegenerator (hidden ability)	2′00″ (0.6 m)	171 (Gold/Silver/Crystal)180 (Ruby/Sapphire/Emerald)173 (HeartGold/SoulSilver)237 (Black 2/White 2)146 (X/Y — Coastal Kalos)189 (Omega Ruby/Alpha Sapphire)112 (Sun/Moon — Alola dex)135 (U.Sun/U.Moon — Alola dex)	222	Coral Pokémon	Water Rock	11.0 lbs (5.0 kg)	Corsola
221	1. Hustle2. SniperMoody (hidden ability)	2′00″ (0.6 m)	172 (Gold/Silver/Crystal)132 (Diamond/Pearl)132 (Platinum)174 (HeartGold/SoulSilver)235 (Black 2/White 2)144 (X/Y — Coastal Kalos)143 (U.Sun/U.Moon — Alola dex)	223	Jet Pokémon	Water	26.5 lbs (12.0 kg)	Remoraid
222	1. Suction Cups2. SniperMoody (hidden ability)	2′11″ (0.9 m)	173 (Gold/Silver/Crystal)133 (Diamond/Pearl)133 (Platinum)175 (HeartGold/SoulSilver)236 (Black 2/White 2)145 (X/Y — Coastal Kalos)144 (U.Sun/U.Moon — Alola dex)	224	Jet Pokémon	Water	62.8 lbs (28.5 kg)	Octillery
223	1. Vital Spirit2. HustleInsomnia (hidden ability)	2′11″ (0.9 m)	190 (Gold/Silver/Crystal)194 (HeartGold/SoulSilver)254 (Black 2/White 2)090 (X/Y — Mountain Kalos)081 (Sun/Moon — Alola dex)095 (U.Sun/U.Moon — Alola dex)	225	Delivery Pokémon	Ice Flying	35.3 lbs (16.0 kg)	Delibird
224	1. Swift Swim2. Water AbsorbWater Veil (hidden ability)	6′11″ (2.1 m)	197 (Gold/Silver/Crystal)141 (Diamond/Pearl)141 (Platinum)202 (HeartGold/SoulSilver)234 (Black 2/White 2)140 (X/Y — Coastal Kalos)146 (U.Sun/U.Moon — Alola dex)	226	Kite Pokémon	Water Flying	485.0 lbs (220.0 kg)	Mantine
225	1. Keen Eye2. SturdyWeak Armor (hidden ability)	5′07″ (1.7 m)	198 (Gold/Silver/Crystal)115 (Ruby/Sapphire/Emerald)203 (HeartGold/SoulSilver)203 (Black 2/White 2)112 (X/Y — Mountain Kalos)120 (Omega Ruby/Alpha Sapphire)208 (Sun/Moon — Alola dex)270 (U.Sun/U.Moon — Alola dex)	227	Armor Bird Pokémon	Steel Flying	111.3 lbs (50.5 kg)	Skarmory
226	1. Early Bird2. Flash FireUnnerve (hidden ability)	2′00″ (0.6 m)	209 (Gold/Silver/Crystal)176 (Platinum)214 (HeartGold/SoulSilver)075 (X/Y — Coastal Kalos)289 (U.Sun/U.Moon — Alola dex)	228	Dark Pokémon	Dark Fire	23.8 lbs (10.8 kg)	Houndour
227	1. Early Bird2. Flash FireUnnerve (hidden ability)	4′07″ (1.4 m)	210 (Gold/Silver/Crystal)177 (Platinum)215 (HeartGold/SoulSilver)076 (X/Y — Coastal Kalos)290 (U.Sun/U.Moon — Alola dex)	229	Dark Pokémon	Dark Fire	77.2 lbs (35.0 kg)	Houndoom
228	1. Swift Swim2. SniperDamp (hidden ability)	5′11″ (1.8 m)	188 (Gold/Silver/Crystal)186 (Ruby/Sapphire/Emerald)192 (HeartGold/SoulSilver)041 (X/Y — Coastal Kalos)195 (Omega Ruby/Alpha Sapphire)	230	Dragon Pokémon	Water Dragon	335.1 lbs (152.0 kg)	Kingdra
229	1. PickupSand Veil (hidden ability)	1′08″ (0.5 m)	195 (Gold/Silver/Crystal)165 (Ruby/Sapphire/Emerald)200 (HeartGold/SoulSilver)172 (Omega Ruby/Alpha Sapphire)	231	Long Nose Pokémon	Ground	73.9 lbs (33.5 kg)	Phanpy
